City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Punta Arenas,CL,-53.15,-70.92,50.0,87,100,4.7,moderate rain
1,Mongo,TD,12.18,18.69,73.53,25,0,4.23,clear sky
2,Nikolskoye,RU,59.7,30.79,23.0,92,75,4.47,broken clouds
3,Mar Del Plata,AR,-38.0,-57.56,66.99,93,75,9.17,broken clouds
4,Beya,RU,53.05,90.91,-10.05,84,96,2.48,overcast clouds
5,Yellowknife,CA,62.46,-114.35,-11.2,83,90,6.93,light snow
6,Ushuaia,AR,-54.8,-68.3,46.4,87,75,12.75,broken clouds
7,Bredasdorp,ZA,-34.53,20.04,64.4,72,99,11.41,overcast clouds
8,Kavieng,PG,-2.57,150.8,85.62,66,14,9.86,few clouds
9,Coihaique,CL,-45.58,-72.07,54.36,87,100,4.05,overcast clouds
10,Port Blair,IN,11.67,92.75,83.57,71,47,10.83,light rain
11,Caravelas,BR,-17.71,-39.25,72.23,92,39,4.27,scattered clouds
12,Chingola,ZM,-12.53,27.88,69.71,90,68,8.41,light rain
13,Omboue,GA,-1.57,9.26,78.06,87,100,4.7,overcast clouds
14,Yarkovo,RU,57.4,67.08,6.49,93,100,11.88,overcast clouds
15,Gizo,SB,-8.1,156.84,81.19,77,100,7.81,overcast clouds
16,Busselton,AU,-33.65,115.33,79.0,34,0,4.0,clear sky
17,Cape Town,ZA,-33.93,18.42,71.01,72,75,8.05,broken clouds
18,Kaitangata,NZ,-46.28,169.85,55.0,53,0,11.01,clear sky
19,Belfort,FR,47.63,6.87,32.0,92,90,5.82,overcast clouds
20,Saskylakh,RU,71.92,114.08,-13.92,87,100,15.73,overcast clouds
21,Piney Green,US,34.72,-77.32,33.01,74,1,3.53,clear sky
22,Avarua,CK,-21.21,-159.78,77.0,83,54,1.12,broken clouds
23,Cidreira,BR,-30.18,-50.21,72.16,86,99,12.5,overcast clouds
24,Jurm,AF,36.86,70.83,21.29,82,89,2.75,overcast clouds
25,Puerto Madero,MX,14.72,-92.42,75.07,75,0,6.13,clear sky
26,Mataura,NZ,-46.19,168.86,59.0,63,0,8.99,clear sky
27,Champerico,GT,14.3,-91.92,64.99,96,0,3.78,clear sky
28,Carnarvon,AU,-24.87,113.63,84.2,66,0,18.34,clear sky
29,New Norfolk,AU,-42.78,147.06,75.2,41,75,20.8,light rain
30,Albany,US,42.6,-73.97,27.0,69,11,5.79,light snow
31,Bluff,NZ,-46.6,168.33,59.0,63,0,8.99,clear sky
32,Salalah,OM,17.02,54.09,77.0,29,0,14.99,clear sky
33,Tuktoyaktuk,CA,69.45,-133.04,-5.8,83,90,3.36,fog
34,Sapouy,BF,11.55,-1.77,63.36,27,56,6.55,broken clouds
