City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ponta Do Sol,PT,20-12-23 23:06:11,32.67,-17.1,66.2,72,75,6.93
1,Mitsamiouli,KM,20-12-23 23:06:11,-11.38,43.28,82.45,75,18,7.92
2,Bonthe,SL,20-12-23 23:06:11,7.53,-12.51,79.65,81,2,6.2
3,Bredasdorp,ZA,20-12-23 23:06:12,-34.53,20.04,62.6,88,56,9.17
4,Hobart,AU,20-12-23 23:06:08,-42.88,147.33,61.0,44,75,11.41
5,Pevek,RU,20-12-23 23:06:13,69.7,170.31,-3.51,89,100,2.59
6,Cape Town,ZA,20-12-23 23:03:26,-33.93,18.42,66.99,88,75,9.17
7,Saint-Philippe,RE,20-12-23 23:06:17,-21.36,55.77,75.2,78,0,6.93
8,Busselton,AU,20-12-23 23:05:57,-33.65,115.33,78.37,34,19,9.26
9,Punta Arenas,CL,20-12-23 23:02:16,-53.15,-70.92,55.4,37,0,32.21
10,Hermanus,ZA,20-12-23 23:06:18,-34.42,19.23,64.0,93,88,1.99
11,Gat,IL,20-12-23 23:06:04,31.61,34.76,57.99,100,70,8.1
12,Iqaluit,CA,20-12-23 23:06:20,63.75,-68.51,3.2,77,90,14.99
13,Guiratinga,BR,20-12-23 23:06:20,-16.35,-53.76,75.07,85,88,2.33
14,Pangyan,PH,20-12-23 23:06:21,5.7,125.28,79.74,76,49,4.27
15,Barrow,US,20-12-23 23:06:21,71.29,-156.79,-2.2,77,90,19.46
16,Cayenne,GF,20-12-23 23:06:21,4.93,-52.33,78.8,88,75,4.7
17,Puerto Ayora,EC,20-12-23 23:06:22,-0.74,-90.35,82.4,65,0,13.87
18,Los Andes,CL,20-12-23 23:03:21,-32.83,-70.6,77.0,73,0,3.0
19,Mae Sai,TH,20-12-23 23:04:24,20.43,99.88,51.01,100,0,2.01
20,New Norfolk,AU,20-12-23 23:06:24,-42.78,147.06,61.0,58,86,3.0
21,Klaksvik,FO,20-12-23 23:06:24,62.23,-6.59,32.0,85,97,16.11
22,Vardo,NO,20-12-23 23:06:24,70.37,31.11,35.6,74,75,11.41
23,Ushuaia,AR,20-12-23 23:06:25,-54.8,-68.3,50.0,81,75,20.8
24,Dikson,RU,20-12-23 23:06:25,73.51,80.55,-11.58,89,100,8.99
25,Castro,BR,20-12-23 23:06:27,-24.79,-50.01,64.24,94,8,8.9
26,Shenkursk,RU,20-12-23 23:06:27,62.11,42.9,23.65,97,100,8.28
27,Ballina,AU,20-12-23 23:06:27,-28.87,153.57,75.2,69,86,10.29
28,Datong,CN,20-12-23 23:06:28,40.09,113.29,12.33,73,0,7.43
29,Provideniya,RU,20-12-23 23:06:28,64.38,-173.3,21.2,79,90,11.18
30,Arraial Do Cabo,BR,20-12-23 23:06:28,-22.97,-42.03,73.4,94,75,2.24
31,Sur,OM,20-12-23 23:06:29,22.57,59.53,66.92,63,0,1.7
32,Chokurdakh,RU,20-12-23 23:06:29,70.63,147.92,-11.04,89,100,13.71
33,Cidreira,BR,20-12-23 23:06:30,-30.18,-50.21,72.36,75,0,14.67
34,Bluff,NZ,20-12-23 23:06:31,-46.6,168.33,55.99,87,97,17.0
35,Pafos,CY,20-12-23 23:01:36,34.77,32.42,51.8,76,40,9.17
36,Wad Rawah,SD,20-12-23 23:06:32,15.16,33.14,73.65,31,43,11.65
37,Mataura,NZ,20-12-23 23:06:33,-46.19,168.86,55.99,87,100,17.0
38,Albany,US,20-12-23 23:04:05,42.6,-73.97,30.99,64,99,4.88
39,Bambous Virieux,MU,20-12-23 23:06:34,-20.34,57.76,77.0,83,75,14.99
40,Saldanha,ZA,20-12-23 23:06:34,-33.01,17.94,66.2,77,19,1.12
41,Savannah Bight,HN,20-12-23 23:06:35,16.45,-85.85,80.6,78,40,4.7
42,Avera,US,20-12-23 23:06:35,33.19,-82.53,60.8,72,40,6.93
43,Atuona,PF,20-12-23 23:06:36,-9.8,-139.03,78.48,80,4,18.7
44,Bairiki,KI,20-12-23 23:06:37,1.33,172.98,84.2,70,75,14.99
45,Acajutla,SV,20-12-23 23:01:39,13.59,-89.83,81.57,67,0,5.01
46,Airai,TL,20-12-23 23:06:38,-8.93,125.41,64.65,91,66,0.51
47,Mount Gambier,AU,20-12-23 23:06:39,-37.83,140.77,59.0,67,90,14.99
48,Sao Jose Da Coroa Grande,BR,20-12-23 23:06:39,-8.9,-35.15,77.83,77,84,9.71
49,Sao Filipe,CV,20-12-23 23:06:39,14.9,-24.5,72.88,64,100,6.55
50,Tunceli,TR,20-12-23 23:06:40,39.11,39.55,28.4,63,0,9.17
51,Rikitea,PF,20-12-23 23:06:40,-23.12,-134.97,78.48,63,33,6.33
52,Kasane,BW,20-12-23 23:06:40,-17.82,25.15,71.24,88,81,1.88
53,Annau,TM,20-12-23 23:06:41,37.89,58.52,37.4,86,90,4.7
54,Kruisfontein,ZA,20-12-23 23:06:41,-34.0,24.73,69.01,73,41,3.0
55,Omboue,GA,20-12-23 23:06:42,-1.57,9.26,77.13,91,100,5.84
56,Mandera,KE,20-12-23 23:06:42,3.94,41.87,82.17,27,46,6.69
57,Kudahuvadhoo,MV,20-12-23 23:06:42,2.67,72.89,81.18,74,38,7.29
58,Bathsheba,BB,20-12-23 23:06:43,13.22,-59.52,78.8,78,40,14.99
59,Aklavik,CA,20-12-23 23:06:43,68.22,-135.01,-5.8,76,90,13.87
60,Elizabeth City,US,20-12-23 23:06:44,36.29,-76.25,46.4,75,1,8.05
61,Georgetown,MY,20-12-23 23:06:44,5.41,100.34,78.8,88,20,2.24
62,Broken Hill,AU,20-12-23 23:06:45,-31.95,141.43,64.4,52,0,16.11
63,Kyzyl-Suu,KG,20-12-23 23:06:45,42.34,78.01,21.81,72,77,7.45
64,Tuktoyaktuk,CA,20-12-23 23:06:46,69.45,-133.04,-4.0,83,90,21.92
65,Srednekolymsk,RU,20-12-23 23:06:46,67.45,153.68,-16.22,88,100,16.24
66,Jamestown,US,20-12-23 23:06:47,42.1,-79.24,41.0,48,1,17.22
67,Tilichiki,RU,20-12-23 23:06:47,60.47,166.1,-28.88,85,12,8.77
68,Caravelas,BR,20-12-23 23:06:48,-17.71,-39.25,76.8,81,29,9.37
69,Bengkulu,ID,20-12-23 23:06:48,-3.8,102.27,75.06,86,100,5.57
70,Broome,US,20-12-23 23:06:49,42.25,-75.83,37.0,55,1,12.75
71,Tura,IN,20-12-23 23:06:49,25.52,90.22,56.64,77,24,2.35
72,Esperance,AU,20-12-23 23:03:04,-33.87,121.9,60.8,77,0,13.87
73,Kiruna,SE,20-12-23 23:06:50,67.86,20.23,26.6,100,90,4.94
74,Hithadhoo,MV,20-12-23 23:06:50,-0.6,73.08,81.3,76,95,13.65
75,Nikolskoye,RU,20-12-23 23:06:51,59.7,30.79,33.8,86,75,13.42
76,Jieshi,CN,20-12-23 23:06:51,22.81,115.83,63.0,86,63,6.4
77,Zabol,AF,20-12-23 23:06:52,32.25,67.25,31.77,91,1,1.21
78,Mahebourg,MU,20-12-23 23:06:53,-20.41,57.7,77.0,83,75,14.99
79,Opuwo,NA,20-12-23 23:06:53,-18.06,13.84,67.32,41,37,3.87
80,Ribeira Grande,PT,20-12-23 23:06:53,38.52,-28.7,56.77,66,18,22.7
81,Yellowknife,CA,20-12-23 23:06:54,62.46,-114.35,-5.01,76,90,16.11
82,Kulevcha,UA,20-12-23 23:06:55,46.03,29.94,37.45,94,100,3.87
83,Paracuru,BR,20-12-23 23:04:53,-3.41,-39.03,81.0,75,95,20.0
84,Yerbogachen,RU,20-12-23 23:06:56,61.28,108.01,-22.45,86,100,4.14
85,Banjar,ID,20-12-23 23:06:56,-8.19,114.97,77.0,94,75,2.24
86,Port Alfred,ZA,20-12-23 23:06:57,-33.59,26.89,69.01,82,54,5.99
87,Sorong,ID,20-12-23 23:05:20,-0.88,131.25,81.45,79,100,1.66
88,Hilo,US,20-12-23 23:03:20,19.73,-155.09,82.4,54,40,9.17
89,Dunedin,NZ,20-12-23 23:05:44,-45.87,170.5,57.99,82,99,15.99
90,Kutum,SD,20-12-23 23:06:58,14.2,24.67,61.34,31,0,7.7
91,Coihaique,CL,20-12-23 23:06:59,-45.58,-72.07,62.6,55,75,5.82
92,Puga,MX,20-12-23 23:04:33,21.58,-104.82,82.4,28,5,3.36
93,Mount Isa,AU,20-12-23 23:06:59,-20.73,139.5,77.0,50,40,10.29
94,Tasiilaq,GL,20-12-23 23:07:00,65.61,-37.64,28.4,92,100,26.4
95,Aswan,EG,20-12-23 23:07:00,24.09,32.91,60.98,50,85,11.52
96,Copiapo,CL,20-12-23 23:07:01,-27.37,-70.33,66.2,63,0,11.41
97,Kitimat,CA,20-12-23 23:07:02,54.05,-128.65,33.01,96,100,4.79
98,Dombarovskiy,RU,20-12-23 23:07:02,50.76,59.54,13.77,97,94,6.46
99,Port Hedland,AU,20-12-23 23:07:03,-20.32,118.57,78.8,74,96,6.93
100,Souillac,MU,20-12-23 23:07:03,-20.52,57.52,77.0,83,75,14.99
101,Braco Do Norte,BR,20-12-23 23:07:03,-28.27,-49.17,69.62,90,74,1.81
102,Severo-Kurilsk,RU,20-12-23 23:07:04,50.68,156.12,21.07,89,72,25.17
103,Lukulu,ZM,20-12-23 23:07:04,-14.37,23.24,67.8,93,89,2.08
104,Legionowo,PL,20-12-23 23:07:05,52.4,20.93,39.0,100,90,8.05
105,Kapaa,US,20-12-23 23:07:06,22.08,-159.32,80.6,61,1,6.93
106,Karnobat,BG,20-12-23 23:07:06,42.65,26.98,42.8,93,20,11.41
107,Talnakh,RU,20-12-23 23:07:07,69.49,88.4,-45.4,71,0,2.24
108,Salalah,OM,20-12-23 23:07:07,17.02,54.09,73.4,33,0,9.17
109,Faanui,PF,20-12-23 23:07:07,-16.48,-151.75,80.47,77,86,12.62
110,Vila Velha,BR,20-12-23 23:07:08,-20.33,-40.29,78.01,94,75,6.93
111,Tatawin,TN,20-12-23 23:07:09,32.93,10.45,54.84,90,27,3.4
112,Bulihan,PH,20-12-23 23:07:10,14.27,121.0,78.01,94,20,2.24
113,Roma,US,20-12-23 23:04:49,43.21,-75.46,33.8,59,1,12.75
114,Pedernales,DO,20-12-23 23:07:10,18.04,-71.74,78.03,65,20,2.44
115,Chifeng,CN,20-12-23 23:03:19,42.27,118.96,0.86,85,0,7.81
